Zkittlez
=============
John18,https://www.leafly.com/indica/zkittlez/reviews/1413831,"“Thank you for the investment of your time. I will try not to waste it.
Visual Inspections:
Various shades of green, with slight purple, but most striking is the OFF THE CHARTS thick coat of white crystalline structures throughout the buds, all the way down the stalks. The bud structure is more like a sativa or a hybrid, with the largest cola approximately 6"x2", in the ounce, but most buds 2" to 3" size.

The Nose:
CannabisHead501st,https://www.leafly.com/indica/zkittlez/reviews/1791504,"“This strain just smells superb.  And with a lineage of Grape Ape you know you're inn for a relaxing night.  Picked up 1/4 of zip at 50 bucks with comps from my local cannabis smoke shop.  For an Indica dominant hybrid it's got that Sativa kick which elevates you off the first hit and then comes"right between your eyes."   Flavor is just about as good as it gets with the soft exhale grape nodes which gently reminds yo...”"
SkinTan,https://www.leafly.com/indica/zkittlez/reviews/1716722,"“It was as icy as Wendy selling frosty's to the Whitewalkers north of the wall in Game of Thrones. This bud was covered in crystals! Breaking the nugs up felt as wrong as clubbing a baby seal with a small child. It tasted like candy with berries, super stoned without trying. The high was like flying on the dog/dragon thing from Neverending Story, pure magic! I loved every second of it.”"
james007bond,https://www.leafly.com/indica/zkittlez/reviews/1507980,"“Makes me more tired than I would like to be.”"
KidKaimera,https://www.leafly.com/indica/zkittlez/reviews/1720032,"“Anxiety? What anxiety?! Depression? Don't even know what that means! This is my new anti-depressant. This unlocks the real you. The blissfully happy you.”"
shumz420,https://www.leafly.com/indica/zkittlez/reviews/1681152,"“Dope asf”"
tokeraz,https://www.leafly.com/indica/zkittlez/reviews/1666523,"“Very very sweet. The smoke is heavy and thick. I did feel clearheaded after I smoked. The pain relief was almost instant...”"
MadameGreen3988,https://www.leafly.com/indica/zkittlez/reviews/1680798,"“Absolutely Fabulous!”"
shumz420,https://www.leafly.com/indica/zkittlez/reviews/1681152,"“Dope asf”"
tokeraz,https://www.leafly.com/indica/zkittlez/reviews/1666523,"“Very very sweet. The smoke is heavy and thick. I did feel clearheaded after I smoked. The pain relief was almost instant...”"
MadameGreen3988,https://www.leafly.com/indica/zkittlez/reviews/1680798,"“Absolutely Fabulous!”"
ReaperT1000,https://www.leafly.com/indica/zkittlez/reviews/1721468,"“it will easily knock you out if you need to sleep. it's a pretty hardhitting high for me at least.”"
AZHerbExpert,https://www.leafly.com/indica/zkittlez/reviews/1583150,"“Not the best looking strain out there by any means but the batch I got from Oasis Dispensary here in AZ was 10/10 perfect!  It had THE best tasting terpene profile out of any strain I have ever tried in 18 years of using cannabis.  It tastes literally IDENTICAL to Skittles candy!!!  The batch I had was also flushed PERFECTLY, which had terps all the way to the end ash surprisingly.  It was also very sticky.  I love t...”"
Harrypothead87,https://www.leafly.com/indica/zkittlez/reviews/1803214,"“Heard alot of good things about Zkittlez and that it's one of the big names in the states. On my last trip to Amsterdam I got a gram of it at a coffeeshop. It looked and smelt really nice, also it was a heavy hitter with strong indica effects. Only down side is the flavour, It didn't taste like its smell which was bit disappointing, it didn't taste bad but not great it just wasn't what I was expecting. I would say t...”"
WeAreTheWildThings,https://www.leafly.com/indica/zkittlez/reviews/1803058,"“I used to consider myself to be strictly sativa, or at least sativa dominant in a hybrid, as far as much preference in"feel" from cannabis. 
Then I tried zkittles. Oh my goodness. Delicious. I tried a nitro live resin sugar sauce and it is the most incredible strain I've ever tasted. 
The effects... For me, relaxing body high. Noticable muscle relaxation. My mind was still active yet felt more sedated as the high set...”"
kinish16,https://www.leafly.com/indica/zkittlez/reviews/1535690,"“Definitely hit the relax effect after two puffs in its timeless cartridge form. It helps with giving this invincible feeling and pain disappears. Definitely has helped with my back pain and sets you in a chill mode then let’s you sleep like a baby after wards. Do not smoke this unless you’re going to have time to relax and snooze.”"
rjveintiuno,https://www.leafly.com/indica/zkittlez/reviews/1316148,"“Cool head high”"
rollingstoner5,https://www.leafly.com/indica/zkittlez/reviews/1386510,"“made my muscles feel so relaxed.”"
Texaco93,https://www.leafly.com/indica/zkittlez/reviews/1244652,"“awesome strain fruity aroma but almost instant high smells great & smokes as well to”"
rollingstoner5,https://www.leafly.com/indica/zkittlez/reviews/1314096,"“satisfied with this strain, always gives me a good head high”"
cherrydog,https://www.leafly.com/indica/zkittlez/reviews/1329901,"“this strain just win the 2016 Emerald Cup it was grown by my best freind of 15 years. the hype is right the flower tastes like a bag of skittles. the oil is so flavorful it is mind blowing. don't plan on doing much it will put you down for a few hours.”"
KeatonJJ,https://www.leafly.com/indica/zkittlez/reviews/1468585,"“Bought Zkittlez from grey area the other day and the smell is major,  fruity, grape perfume tones make you want to live in the bag. The bud is super dense and is more like pebbles then bud making is a challenge to pull apart but when you manage it you'll see the stalactite formation of crystals coating the bud. 

I rolled a 0.5 up of flower into a J and the flavour when smoked is unbelievable, it tastes like it smell...”"
gmanjii,https://www.leafly.com/indica/zkittlez/reviews/1244405,"“just get it, won't be disappointed!”"
acbenson2421,https://www.leafly.com/indica/zkittlez/reviews/1254296,"“I thinks it's looks like dat real strong tryna find it anyone know wer I may can I get it I'm in Colorado springs?”"
zenwolfstorm,https://www.leafly.com/indica/zkittlez/reviews/1310000,"“This strain was absolutely incredible, the name says a lot but without smelling and tasting this beauty....full satisfaction can't be acheived. This blend of fruity, sweet candy flavor ensnares the senses and pulls the smoker into whatever activity, or couch they are engaged in. Perfect at any point in the day, but really effective at night. Highly recommended for anyone needing a creative kick, with a nap at the end...”"
chi3fz3ro,https://www.leafly.com/indica/zkittlez/reviews/1380470,"“Smells of crushed grape skittles with citrus notes and berry undertones. I agree about wanting to tape my face to the jar. Effects are very strong very fast. Sedating the body and calming the mind. This wont shut off your head but will allow you to be mellow and focused in small to medium doses. High doses tend to lend more to the Indica side leaving you more and more relaxed as time goes on.”"
nrthrnlghts,https://www.leafly.com/indica/zkittlez/reviews/1371969,"“Good high. Feeling relaxed, uplifted, and with a body high while I remain fully functional.”"
MixonEPA,https://www.leafly.com/indica/zkittlez/reviews/1622321,"“Had a gram of this in a wax pen, great strain to chill out and listen to music with or go out and get stuff done.”"
Michael1977,https://www.leafly.com/indica/zkittlez/reviews/1550193,"“Zkittlez helped ease my back pain, helped me eat and sleep well last night. It has a very fruity taste, immediate pain relief and relaxing.

On a side note. GO PATRIOTS!!!!”"
graybrain23,https://www.leafly.com/indica/zkittlez/reviews/1741525,"“This strain is great in the morning, i'm surprised by the indica categorization, maybe hybrid but I'm getting crazy sativa effects. Such as energy, not sleepy, not hungry, want to talk to people but not go running. I love it for a wake n bake.  Totally wide eyed and bushy tailed!”"
Loushkee,https://www.leafly.com/indica/zkittlez/reviews/1647160,"“This is such a fun experience.  This strain was a surprise to me, as it was a total stranger, and I loved it.  Uplighting, lighthearted and social strain.  I miss it already 😢”"
Davidpnin,https://www.leafly.com/indica/zkittlez/reviews/1794224,"“Believe ALL the hype!  This strain started to scare the hell out of me but there was no real anxiety, just a lot of body numbing and mental intensity without a lot of edge.  I smoked half a join 15 minutes ago and I'm already 9/10 on the high scale.  Smoke enough of this and it'll claw you into the high zone.  Go easy and enjoy.”"
AZHerbExpert,https://www.leafly.com/indica/zkittlez/reviews/1583150,"“Not the best looking strain out there by any means but the batch I got from Oasis Dispensary here in AZ was 10/10 perfect!  It had THE best tasting terpene profile out of any strain I have ever tried in 18 years of using cannabis.  It tastes literally IDENTICAL to Skittles candy!!!  The batch I had was also flushed PERFECTLY, which had terps all the way to the end ash surprisingly.  It was also very sticky.  I love t...”"
zacgeo,https://www.leafly.com/indica/zkittlez/reviews/1552754,"“Great for relaxation”"
greyghost7,https://www.leafly.com/indica/zkittlez/reviews/1637743,"“Probably one of my favorite strains, i am an indica guy and this is very indica dominant. You have a few burst of sativa affects but that seems to subside rather quickly. This weed makes me happy, hungry and horny. (HHH) Smoking this out of a clean bong will give you tropical skittles kind of flavor which is really nice. It's a good smoke anytime of the day, it keeps you clear headed, but can also be used to fall asl...”"
Hoops86,https://www.leafly.com/indica/zkittlez/reviews/1647849,"“Created an account just to review this strain.

One word...Insane!! 

I’ve smoked all kinds of amazing bud in my time but in my 32 years nothing has come close to Zkittlez! 

From the instant you smell it you fall in love! When you grind it even more in love! When you smoke it...you’re ready to marry the bitch!!!

Every puff is a burst of smooth fruity awesomeness that lingers in your mouth! I was shocked it’s an ind...”"
solidvoid,https://www.leafly.com/indica/zkittlez/reviews/1568686,"“After a morning of pleasant physical labor, and an afternoon rejuvenating in a hot bath, stretching, and drinking a nice dry cider, this strain added the perfect breath of sweet air. Frozen maple syrup, cool summer dusk kisses, creative surges. This strain is as sweet as the name implies. Yum, Yum, Triple Yum.

This could be your day!”"
highsam97,https://www.leafly.com/indica/zkittlez/reviews/1610238,"“Really does smell as sweet as candy. Pretty heavy onset, you get knocked back right away. Quite a bit of restlessness, unfortunately.”"
langover94,https://www.leafly.com/indica/zkittlez/reviews/1794797,"“I was a little worried that this strain wouldn't live up to the hype, but I'm here to tell you that it absolutely does. I'm a fan of plain Grape Ape, but when you cross it with Grapefruit it's truly miraculous. Just enough of the sativa head high that's tempered out by the couch-lock-y indica side. Tastes just like candy too; would highly recommend”"
Dan2puffs,https://www.leafly.com/indica/zkittlez/reviews/1734881,"“The best strain ever”"
kinish16,https://www.leafly.com/indica/zkittlez/reviews/1535690,"“Definitely hit the relax effect after two puffs in its timeless cartridge form. It helps with giving this invincible feeling and pain disappears. Definitely has helped with my back pain and sets you in a chill mode then let’s you sleep like a baby after wards. Do not smoke this unless you’re going to have time to relax and snooze.”"
riza78,https://www.leafly.com/indica/zkittlez/reviews/1569539,"“All about that taste. Sweet and morish”"
OGPothead71292,https://www.leafly.com/indica/zkittlez/reviews/1795103,"“The strain I sampled from Mr NiceGuy Veneta wasn’t anything like this description. The only smell you get is cilantro. The taste is overwhelming. It doesn’t get you high, doesn’t have any of the indica effects that these reviews and information seem to suggest it should have.”"
Foliculitis,https://www.leafly.com/indica/zkittlez/reviews/1748840,"“Loved it, great for relaxation, and pain reliever.
For all you suffering from chronic foliculitis decalvans,  try it, it really helps. The pain is still there tho it becomes tolerable.”"
normingtontj,https://www.leafly.com/indica/zkittlez/reviews/1522505,"“Couple hits of a. 90% THC oil cartridge before bed was perfect. Very relaxing high, I am looking forward to enjoying it tomorrow during the day-time to see how it affects me when I’m not pre-disposed to being tired.”"
Freedmom17,https://www.leafly.com/indica/zkittlez/reviews/1538581,"“My very favorite!! Smells amazing and then it’s not the strongest but I get really relaxed and then I mix some with something potent for my chronic pain and nausea  
NOW I CANNOT FIND IT ANYMORE ☹️ it sells out quickly so grab it when you have a chance”"
GothicLucien,https://www.leafly.com/indica/zkittlez/reviews/1521633,"“Absolutely fantastic strain. I have bad back pain from a pinched sciatic nerve and this strain deff helps anytime of day great indica strain! Very uplifting”"
terezforgues,https://www.leafly.com/indica/zkittlez/reviews/1571993,"“The euphoria from this strain is just the best! I just found myself giggling. And as an added bonus, it takes away my pain.”"
cherrydog,https://www.leafly.com/indica/zkittlez/reviews/1522208,"“let me start by saying I personally know the grower who won the 2016 golden tarp award and the 2016 emerald cup for his  zkittlez flower. I smoked my first zkittlez from his personal stash from that grow.  in the 2017 season I grew 3 plants from clones given to me by him.  

bag appeal is a 2 maybe 3. the plant produces a large amount of small golf ball nugs that are covered in tricombs. I live at a higher altitude a...”"
Skitzo918,https://www.leafly.com/indica/zkittlez/reviews/1665101,"“had a very great taste nice relaxed High great for pain especially at the end of the day after work took a few hits didn't take long to kick in and hit hard probably one of my favorite new strands”"
woodsy1,https://www.leafly.com/indica/zkittlez/reviews/1540260,"“one of the best tasting strains I've ever had. literally tastes and smells like candy. very mellow, not overpowering high. relaxes my muscle pain but I still can get things done. top 5 indicas for me.”"
The_Green_Ambassador,https://www.leafly.com/indica/zkittlez/reviews/1665107,"“One of my favourites! This has the sweetness and freshness any flavour chaser will adore. Scent is sweet, tropical with sour notes. Light coloured dense buds giving a mouth watering smoke from that fruity taste. A good all rounder on many levels.”"
rxj38l,https://www.leafly.com/indica/zkittlez/reviews/1412070,"“BIG LET DOWN!!Smelled like candy but was not dandy.. Smoked a good bowl alone and sober after work. kinda started to get high but just didn't happen?? Hit the bong, big fat bowl, not much better. Went to grocery store just to make sure and nope not really rockin???”"
emilyschmitt1229,https://www.leafly.com/indica/zkittlez/reviews/1439433,"“This is a perfect strain for anxiety. It makes me feel super peaceful & happy. Also has a great fruity taste :)”"
KiyomiChie,https://www.leafly.com/indica/zkittlez/reviews/1616698,"“Was feeling a bit anxious, I smoked this and I forgot all about the anxious feeling. Lovely brain massage. I enjoyed the smell. It didn't make me sleepy, just relaxed. Did not make me hungry. No dry mouth, no dry eyes.”"
james007bond,https://www.leafly.com/indica/zkittlez/reviews/1540484,"“Makes me way too tired.”"
james007bond,https://www.leafly.com/indica/zkittlez/reviews/1507980,"“Makes me more tired than I would like to be.”"
SirSparky,https://www.leafly.com/indica/zkittlez/reviews/1542071,"“Soooooo uplifting!! Taste is sweet with a mildly sour/earthy aftertaste. Buds are sticky and on the smaller side. Smell is crazy good; Blueberries and lemon zest. More balanced than indica at first. Creeps up for a period of 2-3 minutes with a blasting head high and subtle relaxation that strengthens as the head high simmers down. A bit spacey at this point, mild thought echo and dry mouth.very relaxing and euphoric....”"
Cynn614,https://www.leafly.com/indica/zkittlez/reviews/1749077,"“I must say this strain had me all the way fucked up last night .....”"
davidh219,https://www.leafly.com/indica/zkittlez/reviews/1493058,"“I didn't find the high to be anything extraordinary, pretty meh on that front. The smell though is absolutely ridiculous. I've never had bud that smelled as strongly as this, and smelled so clearly like something else. It reeks grapefruit odor at a supernatural level of strength. Even through multiple plastic bags, the entire room smells like grapefuit! It's insane. It's not even a bad smell but goddamn, I don't need...”"
AcceptChange1,https://www.leafly.com/indica/zkittlez/reviews/1744181,"“(Extracted) Looking to be at ease, uplifted, and focused on a project? Take about 2 hits.”"
MountainPuff,https://www.leafly.com/indica/zkittlez/reviews/1590859,"“Picked up a gram from Green Pharms in Flagstaff, AZ.  Sweet, berry clean aroma and hand ground SUPER easy - real nice smooth inhale... mildly spikes harsh exhales on ripper hits.  Works a slow creep chill throughout your body and juices your mind to a fulfilled, euphoric state.  Great for pain, funky mood, restlessness and boredom.  This strain literally melts the blues away and spikes relaxing mindfulness.  Would ma...”"
chicagoflower,https://www.leafly.com/indica/zkittlez/reviews/1606052,"“Everything you read is true about this strain.
Lemon smell and great taste.  And eyes tightened”"
Clapback24,https://www.leafly.com/indica/zkittlez/reviews/1797368,"“Surprisingly does taste like skittles. More importantly, this indica does the trick. Hitting this at night time will make for a relaxing, restful sleep (and I do recommend for nighttime by yourself of a close companion).  Just a few hits from my cartridge has all of my pain and worries wiped right away. Too many hits will make you visibly stoned and anti social. I remember the very first hit I was blown away by the f...”"
LJ0666,https://www.leafly.com/indica/zkittlez/reviews/1509839,"“WAIT THIS REALLY TASTES LIKE SKITTLES! (gf upon first puff)

small pale green dusty bud with small orange hairs

grinds easy, smells fantastic and looks very power

tastes fruity, earthly and just like the cady

very nice giggly head high leads to some serious snacking (be warned) 

one of my personal top 5 best”"
yungcloutmaster,https://www.leafly.com/indica/zkittlez/reviews/1651348,"“Such a nice high, great taste on it, super relaxing. Made my eyelids very heavy and ive been smoking on this for about 4 days straight and it hasnt gotten old. Amazing taste, amazing high, and an amazing strain. Would recommend to anyone trying to relax, sometimes gives me a euphoric feeling, great highs.”"
skylar00,https://www.leafly.com/indica/zkittlez/reviews/1738798,"“I am almost done with this blunt, and I bought a Quarter of this strain. I haven noticed that it may make your throat scratchy. I love how relaxed it makes me feel. I feel like this strain is perfect for people who have Depression, ADHD, and PTSD. It helps calm your self down. So I give this strain a 10/10!!!”"
juniorstoner14,https://www.leafly.com/indica/zkittlez/reviews/1591987,"“For an Indica it doesn’t have a heavy sedate effect that people look for, however it is some dank. It has a very softy sticky feeling with dark purple and blue spotting. Very icy. Very potent. Very good.”"
jkarnib61,https://www.leafly.com/indica/zkittlez/reviews/1593268,"“Great strain. Made me really relaxed and calm. A great smoke for after a long day and you just want to watch Netflix or listen to music. Amazing”"
heshua,https://www.leafly.com/indica/zkittlez/reviews/1580124,"“Super tasty, great high”"
Frankypuff,https://www.leafly.com/indica/zkittlez/reviews/1529394,"“Bright Green Buds with a fresh fruity smell that is amazing. The first puff went down smooth with a berry undertone when exhaled. For an Indica this left me real relaxed and focused.”"
supergrannyg,https://www.leafly.com/indica/zkittlez/reviews/1749739,"“This strain is great for evening use. It did me a little munchies not bad strain. It did keep me focused for an Indica DOM.
grannyg”"
HighImDevin,https://www.leafly.com/indica/zkittlez/reviews/1593654,"“Love this strain! I like to use the oil rather than the plant because it gives a better high. Very relaxing . Almost like an invisible hug lol”"
mushy1103,https://www.leafly.com/indica/zkittlez/reviews/1679974,"“Finally got my hands on this strain and I was definitely tasting the rainbow.

Best smoked before going to bed (or in my case before I go in the shower), helps with getting me to sleep.”"
FTWX,https://www.leafly.com/indica/zkittlez/reviews/1802983,"“Nice taste. Very relaxing”"
AustinCodone,https://www.leafly.com/indica/zkittlez/reviews/1751383,"“One of the best indicas in my personal experience and it tastes really good”"
ElDaper,https://www.leafly.com/indica/zkittlez/reviews/1750459,"“Maybe the best indica strain I've had”"
Spaceace13,https://www.leafly.com/indica/zkittlez/reviews/1750521,"“Super!!!!”"
WeAreTheWildThings,https://www.leafly.com/indica/zkittlez/reviews/1803058,"“I used to consider myself to be strictly sativa, or at least sativa dominant in a hybrid, as far as much preference in"feel" from cannabis. 
Then I tried zkittles. Oh my goodness. Delicious. I tried a nitro live resin sugar sauce and it is the most incredible strain I've ever tasted. 
The effects... For me, relaxing body high. Noticable muscle relaxation. My mind was still active yet felt more sedated as the high set...”"
Harrypothead87,https://www.leafly.com/indica/zkittlez/reviews/1803214,"“Heard alot of good things about Zkittlez and that it's one of the big names in the states. On my last trip to Amsterdam I got a gram of it at a coffeeshop. It looked and smelt really nice, also it was a heavy hitter with strong indica effects. Only down side is the flavour, It didn't taste like its smell which was bit disappointing, it didn't taste bad but not great it just wasn't what I was expecting. I would say t...”"
MadameGreen3988,https://www.leafly.com/indica/zkittlez/reviews/1680798,"“Absolutely Fabulous!”"
tokeraz,https://www.leafly.com/indica/zkittlez/reviews/1666523,"“Very very sweet. The smoke is heavy and thick. I did feel clearheaded after I smoked. The pain relief was almost instant...”"
shumz420,https://www.leafly.com/indica/zkittlez/reviews/1681152,"“Dope asf”"
SkinTan,https://www.leafly.com/indica/zkittlez/reviews/1716722,"“It was as icy as Wendy selling frosty's to the Whitewalkers north of the wall in Game of Thrones. This bud was covered in crystals! Breaking the nugs up felt as wrong as clubbing a baby seal with a small child. It tasted like candy with berries, super stoned without trying. The high was like flying on the dog/dragon thing from Neverending Story, pure magic! I loved every second of it.”"
CannabisHead501st,https://www.leafly.com/indica/zkittlez/reviews/1791504,"“This strain just smells superb.  And with a lineage of Grape Ape you know you're inn for a relaxing night.  Picked up 1/4 of zip at 50 bucks with comps from my local cannabis smoke shop.  For an Indica dominant hybrid it's got that Sativa kick which elevates you off the first hit and then comes"right between your eyes."   Flavor is just about as good as it gets with the soft exhale grape nodes which gently reminds yo...”"
AnonymousHamster,https://www.leafly.com/indica/zkittlez/reviews/1764877,"“I have to give it 3 stars right off the bat just for the beautiful smell! When I opened the bag it was just the most wonderful aromatic weed I've tried. I have to drop it a star because I don't like being hungry. Trying to lose weight haha. But I understand some people need it to get hungry. It is definitely a body high, I feel really relaxed and it made working out easier. When I'm going to go to bed it definitely p...”"
Samemch602,https://www.leafly.com/indica/zkittlez/reviews/1803910,"“yes! new fave indica strain! at first it made me super giggly and pure happy.  then it relaxed my whole body. then it relaxed my mind. I had the best sleep ever and even slept in a bit which I can NEVER do!”"
parkerfoshay,https://www.leafly.com/indica/zkittlez/reviews/1667243,"“In small dosages I was fine but in higher dosages, it made me very anxious and introspective.”"
hugolo,https://www.leafly.com/indica/zkittlez/reviews/1804176,"“Tried it from concentrate (hashish) from local dispensary in Spain. One of the sweetest hashish i've ever tried, very good flavour and smell. It is very sticky and you have the impression of missing a part in the fingers if you touch it very much while rolling it... The flavour is very good (mostly sweet, citrus, a little bit spicy) and strong and you think you will get very stoned, but the effects are very relaxing ...”"
theORherb,https://www.leafly.com/indica/zkittlez/reviews/1628609,"“It has a great sweet aroma, it also has a nice grape flavor to it. It made me relaxed and happy, I really like it in the evening. I'd get it again!”"
Annese94,https://www.leafly.com/indica/zkittlez/reviews/1717669,"“My favorite flavor out of them all. The affects are great. Help me get to sleep faster”"
davvify,https://www.leafly.com/indica/zkittlez/reviews/1718024,"“Unequivocally the best strain I have ever tried, plain and simple. True to its name, the overwhelming flavor of candy inspires a powerful and bright sense of nostalgia. While other strains have a tendency to be "peaky", Zkittles is characterized by a consistent and reliable smoothness that moves through you long after any conscious need to refresh it. There is a particularly effective nature to anyone who is in need ...”"
Chrizko3,https://www.leafly.com/indica/zkittlez/reviews/1752892,"“Head blast at first.. then hits ya body pretty quick with the couch lock leaving you with a deep mf relaxation. Pretty damn good”"
thegreenphoenixOG,https://www.leafly.com/indica/zkittlez/reviews/1718678,"“This strain will surprise you in a good way. There are many other types of strains out there that have higher THC levels, but this strain stands out above them. This strain educated me to look at other characteristics, like taste and effect. This strain has both a great level happy high and taste just like those childhood candies. So go roll a J or burn a bowl...But you don’t have to take my word for it.”"
KidKaimera,https://www.leafly.com/indica/zkittlez/reviews/1720032,"“Anxiety? What anxiety?! Depression? Don't even know what that means! This is my new anti-depressant. This unlocks the real you. The blissfully happy you.”"
geniespencer,https://www.leafly.com/indica/zkittlez/reviews/1806124,"“I'm sitting here reading reviews on Zkittlez, I first tried vaping it before work oh boy howdy,I had a fantastic morning. I totally forgot about my sever bone pain in my ankle ( post surgical revision of the Tib/Fib) I was super energetic happy. The day went buy syper fast. I would say this is an outstanding strain for pain, stress, PTSD, Anxiety
I did get a headache it seems to be the only negative for me.”"
Skindd,https://www.leafly.com/indica/zkittlez/reviews/1631491,"“A sour candy smell and taste is amazing. 
The smoke is a surprisingly uplifting indica with a remarkable body relaxation. Light munchie mood quickly hits and then weans away. Definitely a new fav strain!”"
ReaperT1000,https://www.leafly.com/indica/zkittlez/reviews/1721468,"“it will easily knock you out if you need to sleep. it's a pretty hardhitting high for me at least.”"
ALEX3100,https://www.leafly.com/indica/zkittlez/reviews/1205114,"“Been trying to find this strain! Can't find REAL CUTS ANYWHERE”"
grokit,https://www.leafly.com/indica/zkittlez/reviews/1238461,"“Incredible taste, flavor and feel!
An Indica with focus!
The name, for once, is perfect! Tasty sweetness.
I got mine at Caliva in San Jose!”"
rollingstoner5,https://www.leafly.com/indica/zkittlez/reviews/1314095,"“satisfied with this strain, always gives me a good head high”"
mik215,https://www.leafly.com/indica/zkittlez/reviews/1285720,"“Horrible, looks decent, tastes good, but not potent. Not very strong at all. Mayb it was grown wrong.”"
phoenixsun1,https://www.leafly.com/indica/zkittlez/reviews/1380696,"“Quality Indica. it really has a fruity smell and taste. Not the strongest Indica but like the chill effect. Do this with a vape and its stronger.”"
MyJokerHandStayLIT,https://www.leafly.com/indica/zkittlez/reviews/1440586,"“Tastes like Skittles. Good for anxiety. Leaves you tingly. Body floaty type feeling. Head and how you feel gets lighter and lighter as you puff more and more until you drift away. Very relaxing not to in your head. Good any time strain.”"
esimelsabio,https://www.leafly.com/indica/zkittlez/reviews/1230430,"“This Is A Fire Strain And Southwest Patient Group Holds Award Winning Grow That Should Definitely Be Checked Out. Fresh, Fragrant, Potent And Sticky with A Tasty Full Body Flavor When The Flower Is Drawn To Flame.”"
GRAMZD,https://www.leafly.com/indica/zkittlez/reviews/1279461,"“forget GsC forget gorilla glue .. zkittlez is the future of cannibis... terp hogz!!!”"
the420love,https://www.leafly.com/indica/zkittlez/reviews/1331846,"“It's awesome but if you smoke this for the first time make sure to take your time.  I didn't even cough much but it made my chest hurt for half a day the first time.  My friends said its because I was hitting it too hard.  i had no idea. lol.  Also it makes me fall right to sleep so I'm not going to get it again. i need energy”"
sdstang37,https://www.leafly.com/indica/zkittlez/reviews/1342242,"“too many headaches. can't enjoy because of the damn headaches after.”"
Gomez9741,https://www.leafly.com/indica/zkittlez/reviews/1372932,"“I would like to see this strain crossed with some high CBD strain for some truly delicious Medicine . Get to it amigos .”"
chichoo,https://www.leafly.com/indica/zkittlez/reviews/1244085,"“Shout out to @southwestpatientgroup it was amazing! top quality flowers!”"
rollingstoner5,https://www.leafly.com/indica/zkittlez/reviews/1314094,"“satisfied with this strain, always gives me a good head high”"
TwoFish,https://www.leafly.com/indica/zkittlez/reviews/1314429,"“Sooooo tasty! A big bowl of Fruit Loops, with all the delight and comfort. Super chill, not stoney.. A perfect after dinner, get to bed early and sleep deep through the night kinda smoke.”"
winterland6977,https://www.leafly.com/indica/zkittlez/reviews/1256704,"“The cut I got of this was exceptional.  It has one of the most complex and gratifying scent profiles I have ever encountered.  Right up there with Gelato and Sunset Sherbet in terms of pure fragrance.  Hard to describe, but heavenly. The taste is nearly as exotic and wonderful and the high is sublime.  Not too melty, not too racy.  Just right.  One of my new favorite strains.  Top top shelf.”"
HattyMcFatty,https://www.leafly.com/indica/zkittlez/reviews/1318368,"“For an indica, this was very mild. I enjoyed the high and found it energizing and uplifting. Euphoric rather than glued to the couch.”"
jazmanik,https://www.leafly.com/indica/zkittlez/reviews/1332914,"“Great on smell great on flavor but it's not a very strong Strain if you have a high tolerance and like to get supper stoned then i would buy this if your more of a smoke every once in a while kinda person get your self un 8th and enjoy”"
dborg,https://www.leafly.com/indica/zkittlez/reviews/1345791,"“Bomb. Fire. Lit. "I cannot feel my legs" kind of weed. Buy a bag. (or whatever-- plastic tube). Get it organic if you can. Such a clean high.”"
xX420Xx,https://www.leafly.com/indica/zkittlez/reviews/1386215,"“Rainbow”"
mdaniel,https://www.leafly.com/indica/zkittlez/reviews/1732259,"“love this strain helped me with pain and slept great.”"
Theresalia,https://www.leafly.com/indica/zkittlez/reviews/1384150,"“The taste n the smell is so awesome. Really love it”"
phxprime,https://www.leafly.com/indica/zkittlez/reviews/1488564,"“I️ have fallen in love with this strain over and over again,with every new jar,every new joint/blunt. It never disappoints. Even if the high doesn’t last as long as I️ would like sometimes,the quality and taste alone is worth the price. This should be a premium strain in my book but hey I️ won’t complain about the price point!!!🤙🏾”"
krify,https://www.leafly.com/indica/zkittlez/reviews/1271392,"“Really did enjoy this strain”"
Meow4me420,https://www.leafly.com/indica/zkittlez/reviews/1358792,"“Relaxed, but not TOO relaxed, accompanied by a blissful contentment. My 'high' rating comes because this bud creeps up within a couple of mins. and you can still be functional~ just now with a giddy little smile on your face c:”"
Jonguz,https://www.leafly.com/indica/zkittlez/reviews/1376663,"“It's good. 
I'll give it up to the Wax Factory for some bombshell cartridges even of these. The stars are for them guys, pat yourself on the back!”"
KingShark62,https://www.leafly.com/indica/zkittlez/reviews/1470141,"“The flavor omg. It’s crazy. The aroma is so sweet and when you take a dry pull off a joint you can taste the sweetness! 😍 Highly recommend to anyone looking to unwind from the day!”"
mik215,https://www.leafly.com/indica/zkittlez/reviews/1285718,"“Love smell, & taste, but potency is bad. Wish I could try 1 of the other zkittle strains. Mayb wasn't grown right.”"
rollingstoner5,https://www.leafly.com/indica/zkittlez/reviews/1412069,"“satisfied with this strain, always gives me a good head high”"
rollingstoner5,https://www.leafly.com/indica/zkittlez/reviews/1412068,"“satisfied with this strain, always gives me a good head high”"
Texaco93,https://www.leafly.com/indica/zkittlez/reviews/1246923,"“pungent fruity strain love its aroma”"
rollingstoner5,https://www.leafly.com/indica/zkittlez/reviews/1412066,"“satisfied with this strain, always gives me a good head high”"
Michael1977,https://www.leafly.com/indica/zkittlez/reviews/1558761,"“Me; Where you been Skittlez?
Zkittlez: Rocking yo mind bit.
Me: Hell ya dude. HELL YEAH.”"
rollingstoner5,https://www.leafly.com/indica/zkittlez/reviews/1412067,"“satisfied with this strain, always gives me a good head high”"
